unit_price;sum_fact;shop_id;sale_profit;cal_date;customer;title
14,74;14,75;3;5,53;08.01.2019;;Штаны тип 3 - Puma
13,84;13,86;3;5,42;08.01.2019;;Ремень тип 4 - Reebok
253,13;253,14;1;134,85;08.01.2019;;Сапоги тип 3 - Nike
21,72;21,71;1;9,72;08.01.2019;;Штаны тип 9 - Reebok
44,54;44,54;1;16,72;08.01.2019;;Рубашка тип 5 - Adidas
33,18;33,18;1;8,07;08.01.2019;;Кроссовки тип 5 - Puma
10,18;10,18;5;3,89;08.01.2019;;Шапка тип 7 - Adidas
13,7;27,39;4;9,48;08.01.2019;;Шапка тип 6 - Puma
12,75;25,5;1;13,72;08.01.2019;;Кепка тип 3 - Nike
44,36;88,71;7;34,35;08.01.2019;;Штаны тип 6 - Puma
13,92;27,86;1;13,7;08.01.2019;ФИО 314;Шапка тип 1 - Nike
45,4;90,79;8;34,01;08.01.2019;ФИО 575;Рубашка тип 7 - Adidas
68,2;68,21;5;36,91;08.01.2019;ФИО 133;Рубашка тип 4 - Nike
73,66;73,64;7;34,3;09.01.2019;;Штаны тип 3 - Adidas
8,25;8,25;7;4,32;09.01.2019;;Шапка тип 3 - Adidas
81,25;81,25;6;47,79;09.01.2019;;Штаны тип 1 - Nike
72,6;72,61;6;41,31;09.01.2019;;Рубашка тип 4 - Nike
19,8;19,79;4;10,8;09.01.2019;;Рубашка тип 2 - Reebok
19,52;19,5;9;11,02;09.01.2019;;Шапка тип 2 - Nike
19,7;19,71;8;5,77;09.01.2019;;Запонка тип 3 - Puma
10,61;10,61;8;4,61;09.01.2019;;Колготки тип 4 - Puma
121,75;243,5;5;128,64;09.01.2019;;Туфли тип 3 - Adidas
15,74;31,46;7;15,34;09.01.2019;;Футболка тип 3 - Reebok
13,11;26,21;6;13,8;09.01.2019;ФИО 550;Футболка тип 4 - Reebok
88,06;88,07;7;42,27;09.01.2019;ФИО 315;Кроссовки тип 3 - Nike
8,27;8,29;6;4,59;10.01.2019;;Запонка тип 2 - Nike
23,92;23,93;2;8,74;10.01.2019;;Рубашка тип 9 - Puma
9,13;9,14;2;3,74;10.01.2019;;Колготки тип 7 - Reebok
38,46;38,46;4;15,46;10.01.2019;;Рубашка тип 7 - Puma
115,76;115,75;1;57,3;10.01.2019;;Кроссовки тип 3 - Adidas
17,71;17,71;1;9,39;10.01.2019;;Запонка тип 1 - Nike
12,63;12,64;1;5,59;10.01.2019;;Кепка тип 3 - Adidas
14,74;14,75;1;5,53;10.01.2019;;Штаны тип 3 - Puma
93,14;93,14;9;49,82;10.01.2019;;Сапоги тип 2 - Reebok
60,62;60,61;9;29,05;10.01.2019;;Штаны тип 11 - Adidas
93,14;93,14;9;49,82;10.01.2019;;Сапоги тип 2 - Reebok
120,13;120,14;9;57,23;10.01.2019;;Туфли тип 2 - Adidas
225,6;451,21;7;181,34;10.01.2019;;Сапоги тип 1 - Puma
23,94;23,93;7;11,73;11.01.2019;;Запонка тип 5 - Adidas
18,63;18,64;9;5,48;11.01.2019;;Колготки тип 3 - Puma
162,73;325,46;7;185,18;11.01.2019;;Кроссовки тип 2 - Nike
14,74;29,5;7;11,06;11.01.2019;;Штаны тип 3 - Puma
12,7;25,39;7;12,84;11.01.2019;;Шапка тип 2 - Reebok
18,56;18,57;7;8,2;12.01.2019;;Шапка тип 8 - Puma
16,88;16,89;2;6,77;12.01.2019;;Штаны тип 7 - Puma
45,16;45,14;2;24,44;12.01.2019;;Штаны тип 10 - Adidas
13,14;13,14;4;5,24;12.01.2019;;Запонка тип 6 - Reebok
16,26;16,25;5;8,26;12.01.2019;;Кепка тип 1 - Nike
27,85;27,86;6;11,56;13.01.2019;;Рубашка тип 12 - Adidas
242,27;242,25;6;124,09;13.01.2019;;Сапоги тип 2 - Adidas
3,35;3,36;6;1,81;13.01.2019;;Мячик тип 1 - Reebok
15,43;15,43;6;8,29;13.01.2019;;Запонка тип 2 - Reebok
21,48;21,46;6;10,41;13.01.2019;;Рубашка тип 11 - Adidas
17,58;17,57;2;9,36;13.01.2019;;Футболка тип 3 - Nike
8,04;8,04;2;3,65;13.01.2019;;Шапка тип 1 - Adidas
13,58;13,57;2;5,72;13.01.2019;;Шапка тип 2 - Puma
26,3;26,29;5;13,65;13.01.2019;;Колготки тип 5 - Adidas
120,13;120,14;9;57,23;13.01.2019;;Туфли тип 2 - Adidas
11,1;11,11;9;5,1;13.01.2019;;Майка тип 2 - Adidas
220,26;440,54;6;204,95;13.01.2019;;Туфли тип 4 - Reebok
121,75;243,5;6;128,64;13.01.2019;;Туфли тип 3 - Adidas
13,03;26,07;2;15,27;13.01.2019;;Колготки тип 7 - Nike
8,27;16,54;2;9,18;13.01.2019;;Запонка тип 2 - Nike
20,17;20,18;9;9,53;13.01.2019;ФИО 1168;Ремень тип 1 - Reebok
24,7;24,71;4;11,13;13.01.2019;ФИО 313;Колготки тип 6 - Reebok
8,26;8,25;2;3,05;14.01.2019;;Запонка тип 5 - Reebok
54,88;54,89;1;29,38;14.01.2019;;Штаны тип 3 - Nike
13,05;13,04;1;5,8;14.01.2019;;Ремень тип 3 - Adidas
9,46;9,46;1;4,6;14.01.2019;;Шапка тип 2 - Adidas
9,39;9,39;5;4,17;14.01.2019;;Запонка тип 5 - Reebok
90,61;90,61;8;44,22;14.01.2019;;Штаны тип 7 - Nike
10,35;20,71;8;11,91;14.01.2019;;Колготки тип 4 - Nike
11,83;11,82;7;5,43;14.01.2019;ФИО 196;Футболка тип 6 - Adidas
113,46;113,46;7;55,92;14.01.2019;ФИО 196;Туфли тип 1 - Nike
44,76;44,75;5;23,11;14.01.2019;ФИО 764;Рубашка тип 6 - Adidas
13,03;13,04;5;7,64;15.01.2019;;Колготки тип 7 - Nike
20,34;20,36;8;10,27;15.01.2019;;Шапка тип 8 - Nike
197,62;197,61;8;116,23;15.01.2019;;Сапоги тип 6 - Nike
69,67;69,68;8;38,38;15.01.2019;;Рубашка тип 4 - Nike
135,45;135,46;8;79,66;15.01.2019;;Туфли тип 2 - Nike
13,87;13,86;8;4,98;15.01.2019;;Шапка тип 3 - Puma
21,2;21,21;8;8,99;15.01.2019;;Ремень тип 3 - Puma
18,22;36,43;8;19,5;15.01.2019;;Шапка тип 6 - Nike
16,41;32,82;7;18,68;15.01.2019;;Шапка тип 1 - Nike
206,29;206,29;6;101,04;16.01.2019;;Туфли тип 4 - Nike
62,04;62,04;4;32,72;16.01.2019;;Рубашка тип 3 - Nike
78,96;78,96;4;36,96;16.01.2019;;Штаны тип 4 - Reebok
102,27;102,29;4;44,84;16.01.2019;;Туфли тип 3 - Adidas
13,11;13,11;1;6,9;16.01.2019;;Футболка тип 4 - Reebok
10,83;10,82;1;3,58;16.01.2019;;Ремень тип 3 - Adidas
2,16;2,14;1;1,05;16.01.2019;;Мячик тип 1 - Adidas
135,25;135,25;9;54,36;16.01.2019;;Туфли тип 1 - Puma
175,87;351,75;6;155,46;16.01.2019;;Сапоги тип 3 - Puma
197,62;197,61;6;116,23;17.01.2019;;Сапоги тип 6 - Nike
237,42;237,43;6;119,24;17.01.2019;;Сапоги тип 2 - Adidas
34,73;34,71;5;17,62;17.01.2019;;Штаны тип 5 - Adidas
34,73;69,46;8;35,24;17.01.2019;ФИО 1168;Штаны тип 5 - Adidas
23,92;23,93;9;8,74;17.01.2019;ФИО 1268;Рубашка тип 9 - Puma
47,84;47,86;5;22,66;17.01.2019;ФИО 855;Штаны тип 4 - Adidas
211,93;211,93;5;114,53;17.01.2019;ФИО 855;Сапоги тип 2 - Nike
17,16;17,18;5;7,63;17.01.2019;ФИО 855;Майка тип 3 - Puma
25,8;25,79;7;10,87;18.01.2019;;Штаны тип 1 - Puma
8,13;8,14;7;4,16;18.01.2019;;Колготки тип 5 - Reebok
38,41;38,43;7;12,98;18.01.2019;;Кроссовки тип 2 - Reebok
206,29;206,29;3;101,04;18.01.2019;;Туфли тип 4 - Nike
23,94;23,93;3;11,73;18.01.2019;;Запонка тип 5 - Adidas
154,57;154,57;5;69,64;18.01.2019;;Туфли тип 2 - Reebok
9,96;9,96;8;5,1;18.01.2019;;Шапка тип 2 - Adidas
16,5;16,5;8;7,67;18.01.2019;;Майка тип 2 - Reebok
14,85;14,86;8;7,35;18.01.2019;;Колготки тип 2 - Reebok
7,26;7,25;8;3,44;18.01.2019;;Шапка тип 6 - Reebok
4;8;8;4,57;18.01.2019;;Мячик тип 1 - Nike
75,63;151,25;7;78,19;18.01.2019;;Кроссовки тип 2 - Adidas
104,92;209,86;7;88,56;18.01.2019;;Туфли тип 4 - Adidas
60,74;60,75;7;30,85;19.01.2019;;Рубашка тип 1 - Nike
41,38;41,39;7;20,77;19.01.2019;;Штаны тип 10 - Nike
19,5;19,5;1;9,75;19.01.2019;;Рубашка тип 9 - Reebok
50,93;50,93;1;21,86;19.01.2019;;Рубашка тип 1 - Puma
27,9;27,89;5;14,72;19.01.2019;;Колготки тип 7 - Adidas
24,51;24,5;5;13,37;19.01.2019;;Шлёпки тип 1 - Reebok
22,01;22;9;8,11;19.01.2019;;Футболка тип 3 - Puma
20,1;20,11;9;10,1;19.01.2019;;Шапка тип 4 - Adidas
13,27;13,29;9;6,7;19.01.2019;;Шлёпки тип 1 - Nike
17,22;34,43;9;14,23;19.01.2019;;Штаны тип 7 - Puma
5,65;11,32;1;5,95;19.01.2019;;Майка тип 3 - Adidas
16,15;32,29;7;18,73;19.01.2019;;Футболка тип 1 - Nike
46,41;92,82;3;45,75;19.01.2019;ФИО 749;Рубашка тип 11 - Nike
10,67;10,68;3;4,42;19.01.2019;ФИО 749;Кепка тип 1 - Adidas
18,56;18,57;5;8,2;19.01.2019;ФИО 771;Шапка тип 8 - Puma
16,58;16,57;5;9,5;19.01.2019;ФИО 771;Шапка тип 1 - Nike
22,76;22,75;5;12,37;19.01.2019;ФИО 771;Ремень тип 1 - Adidas
27,13;27,14;7;9,92;20.01.2019;;Штаны тип 8 - Puma
11,98;11,96;2;6,3;20.01.2019;;Штаны тип 2 - Reebok
23,2;23,21;9;10,52;20.01.2019;;Рубашка тип 8 - Adidas
50,23;50,25;9;28,91;20.01.2019;;Штаны тип 2 - Nike
15,43;15,43;9;8,29;20.01.2019;;Запонка тип 2 - Reebok
20,63;20,64;9;8,63;20.01.2019;;Штаны тип 9 - Reebok
11,1;11,11;9;3,78;20.01.2019;;Запонка тип 6 - Puma
7,88;7,89;4;2,88;21.01.2019;;Запонка тип 5 - Puma
14,47;14,46;3;6,47;21.01.2019;;Кепка тип 1 - Nike
12,37;12,36;9;5,91;21.01.2019;ФИО 1242;Ремень тип 4 - Adidas
89,29;89,29;5;39,69;21.01.2019;ФИО 218;Туфли тип 3 - Reebok
6,87;6,86;5;3,12;21.01.2019;ФИО 625;Кепка тип 2 - Reebok
50,93;50,93;7;21,86;22.01.2019;;Рубашка тип 1 - Puma
19,5;19,5;3;9,75;22.01.2019;;Рубашка тип 9 - Reebok
13,92;13,93;1;6,6;22.01.2019;;Штаны тип 9 - Adidas
28,47;28,46;9;15,29;22.01.2019;;Колготки тип 7 - Adidas
17,14;34,29;9;13,78;22.01.2019;;Кепка тип 3 - Puma
55,83;55,82;2;29,3;23.01.2019;;Штаны тип 8 - Nike
31,91;31,93;2;16,95;23.01.2019;;Рубашка тип 5 - Nike
9,7;9,71;2;4,7;23.01.2019;;Майка тип 4 - Reebok
34,73;34,71;4;17,62;23.01.2019;;Штаны тип 5 - Adidas
75,18;75,18;4;32,07;23.01.2019;;Штаны тип 5 - Puma
80,37;80,36;1;38,51;23.01.2019;;Кроссовки тип 5 - Reebok
19,16;19,18;5;10,05;23.01.2019;;Колготки тип 6 - Nike
7,76;7,75;9;3,94;23.01.2019;;Майка тип 4 - Adidas
12,75;12,75;9;6,86;23.01.2019;;Кепка тип 3 - Nike
191,85;191,86;9;86,6;23.01.2019;;Туфли тип 4 - Nike
4;8;7;4,57;23.01.2019;;Мячик тип 1 - Nike
57,89;57,89;3;29,92;23.01.2019;ФИО 354;Кроссовки тип 5 - Adidas
13,2;13,21;3;4,16;23.01.2019;ФИО 354;Запонка тип 2 - Puma
41,15;41,14;4;21,05;23.01.2019;ФИО 594;Рубашка тип 8 - Reebok
12,11;12,11;4;7,15;23.01.2019;ФИО 594;Майка тип 1 - Nike
17,7;17,71;6;8,23;24.01.2019;;Шапка тип 1 - Reebok
9,39;9,39;1;4,17;24.01.2019;;Запонка тип 5 - Reebok
11,1;11,11;1;5,1;24.01.2019;;Майка тип 2 - Adidas
19,11;19,11;1;7,33;24.01.2019;;Рубашка тип 6 - Puma
22,49;22,5;1;10,7;24.01.2019;;Рубашка тип 6 - Reebok
8,96;8,96;5;3,96;24.01.2019;;Запонка тип 5 - Puma
64,95;129,89;6;70,03;24.01.2019;;Рубашка тип 9 - Adidas
21,74;43,46;6;19,9;25.01.2019;ФИО 889;Рубашка тип 6 - Reebok
19,52;19,5;6;11,02;25.01.2019;ФИО 889;Шапка тип 2 - Nike
25,69;25,68;6;11,73;25.01.2019;ФИО 889;Запонка тип 3 - Reebok
193,67;193,68;6;112,28;25.01.2019;ФИО 889;Сапоги тип 6 - Nike
3,38;3,39;6;1,38;25.01.2019;ФИО 889;Колготки тип 2 - Adidas
14,37;14,36;6;8,01;25.01.2019;ФИО 889;Майка тип 4 - Nike
55,89;55,89;7;26,32;26.01.2019;;Штаны тип 1 - Adidas
93,14;93,14;7;49,82;26.01.2019;;Сапоги тип 2 - Reebok
21,35;21,36;7;8,67;26.01.2019;;Рубашка тип 8 - Adidas
31,67;31,68;5;10,59;26.01.2019;;Штаны тип 2 - Puma
21,72;21,71;5;9,72;26.01.2019;;Штаны тип 9 - Reebok
22,26;22,25;5;10,9;26.01.2019;;Футболка тип 3 - Adidas
15,74;15,75;8;7,67;26.01.2019;;Футболка тип 3 - Reebok
27,43;27,43;9;14,18;26.01.2019;ФИО 1078;Запонка тип 1 - Reebok
68,82;68,82;9;24,93;26.01.2019;ФИО 1078;Сапоги тип 2 - Puma
13,06;13,07;9;5,74;26.01.2019;ФИО 1078;Запонка тип 6 - Puma
17,39;17,39;9;5,17;26.01.2019;ФИО 1078;Ремень тип 3 - Puma
8,14;8,14;7;3,32;27.01.2019;;Запонка тип 1 - Puma
19,35;19,36;7;9,88;27.01.2019;;Кепка тип 2 - Nike
14,54;14,54;7;7,22;27.01.2019;;Штаны тип 9 - Adidas
21,26;21,25;2;10,19;27.01.2019;;Рубашка тип 11 - Adidas
124,12;124,11;3;63,47;27.01.2019;;Туфли тип 4 - Adidas
3,38;3,39;3;1,77;27.01.2019;;Мячик тип 2 - Adidas
19,17;19,18;3;11,31;27.01.2019;;Ремень тип 2 - Nike
25,33;25,32;9;12,16;27.01.2019;;Колготки тип 7 - Adidas
11,28;22,54;3;10,05;27.01.2019;;Кепка тип 1 - Adidas
217,77;435,54;3;230,69;27.01.2019;;Сапоги тип 4 - Nike
30,65;61,32;4;25,66;27.01.2019;;Штаны тип 9 - Puma
75,97;151,93;1;76,72;27.01.2019;;Штаны тип 8 - Adidas
8,14;8,14;8;3,32;27.01.2019;ФИО 28;Запонка тип 1 - Puma
17,41;17,43;8;7,95;27.01.2019;ФИО 28;Шапка тип 6 - Adidas
89,29;89,29;8;39,69;27.01.2019;ФИО 28;Туфли тип 3 - Reebok
65,51;65,5;4;36,08;28.01.2019;;Рубашка тип 2 - Nike
29,08;29,07;4;12,15;28.01.2019;;Рубашка тип 1 - Adidas
15,74;15,75;4;7,67;28.01.2019;;Футболка тип 3 - Reebok
59,46;59,46;4;19,93;28.01.2019;;Штаны тип 2 - Adidas
81,2;81,21;4;35,27;28.01.2019;;Сапоги тип 5 - Puma
17,14;17,14;4;6,89;28.01.2019;;Кепка тип 3 - Puma
41,38;41,39;4;20,77;28.01.2019;;Штаны тип 10 - Nike
13,37;13,36;1;6,41;28.01.2019;ФИО 1149;Шапка тип 7 - Reebok
41,89;41,89;7;22,53;29.01.2019;;Рубашка тип 8 - Nike
8,96;8,96;2;3,96;29.01.2019;;Запонка тип 5 - Puma
75,63;75,64;2;39,09;29.01.2019;;Кроссовки тип 2 - Adidas
37,32;37,32;2;15,11;29.01.2019;;Рубашка тип 5 - Puma
57,08;57,07;2;27,76;29.01.2019;;Рубашка тип 3 - Nike
19,5;19,5;2;9,75;29.01.2019;;Рубашка тип 9 - Reebok
8,08;8,07;2;4,08;29.01.2019;;Шапка тип 5 - Reebok
17,41;17,43;2;7,95;29.01.2019;;Шапка тип 6 - Adidas
260,49;260,5;4;132,17;29.01.2019;;Сапоги тип 1 - Adidas
17,79;17,79;4;7,29;29.01.2019;;Запонка тип 6 - Nike
135,25;135,25;3;54,36;29.01.2019;;Туфли тип 1 - Puma
81,25;81,25;5;47,79;29.01.2019;;Штаны тип 1 - Nike
285,97;285,96;5;159,44;29.01.2019;;Сапоги тип 5 - Nike
13,52;27,04;4;8,96;29.01.2019;;Запонка тип 2 - Puma
12,11;24,21;2;14,3;29.01.2019;;Майка тип 1 - Nike
220,26;220,25;2;102,47;30.01.2019;;Туфли тип 4 - Reebok
113,46;113,46;2;55,92;30.01.2019;;Туфли тип 1 - Nike
12,37;12,36;2;6,48;30.01.2019;;Кепка тип 3 - Nike
14,22;14,21;2;7,76;30.01.2019;;Ремень тип 4 - Adidas
192,39;192,39;2;72,67;30.01.2019;;Туфли тип 3 - Nike
60,74;60,75;2;30,85;30.01.2019;;Рубашка тип 1 - Nike
16,58;16,57;3;9,5;30.01.2019;;Шапка тип 1 - Nike
55,89;55,89;3;26,32;30.01.2019;;Штаны тип 1 - Adidas
32,67;32,68;8;15,74;30.01.2019;;Рубашка тип 1 - Adidas
25,52;25,5;8;12,02;30.01.2019;;Ремень тип 3 - Reebok
10,58;10,57;8;4,22;30.01.2019;;Штаны тип 12 - Puma
175,87;351,75;8;155,46;30.01.2019;;Сапоги тип 3 - Puma
60,62;121,25;2;58,09;30.01.2019;;Штаны тип 11 - Adidas
14,22;28,43;2;15,51;30.01.2019;;Ремень тип 4 - Adidas
22,12;22,11;6;8,91;31.01.2019;;Колготки тип 4 - Adidas
19,61;19,61;4;9,4;31.01.2019;;Футболка тип 7 - Reebok
14,37;14,36;8;8,01;31.01.2019;;Майка тип 4 - Nike
135,45;135,46;8;79,66;31.01.2019;;Туфли тип 2 - Nike
13,87;13,86;4;4,98;31.01.2019;ФИО 279;Шапка тип 3 - Puma
81,89;81,89;4;37,89;31.01.2019;ФИО 738;Штаны тип 8 - Reebok
2,16;2,14;6;1,05;01.02.2019;;Мячик тип 1 - Adidas
34,71;34,71;6;15,64;01.02.2019;;Рубашка тип 5 - Reebok
2,16;2,14;6;1,05;01.02.2019;;Мячик тип 1 - Adidas
16,76;16,75;3;9,22;01.02.2019;;Ремень тип 3 - Nike
74,17;74,18;9;35,74;01.02.2019;;Штаны тип 5 - Reebok
15,4;30,79;9;15,37;01.02.2019;;Футболка тип 2 - Nike
220,26;440,54;9;204,95;01.02.2019;;Туфли тип 4 - Reebok
247,47;247,46;9;145,04;01.02.2019;ФИО 569;Сапоги тип 4 - Nike
23,45;23,46;3;7,17;01.02.2019;ФИО 1025;Рубашка тип 12 - Adidas
7;7;3;2,54;01.02.2019;ФИО 1025;Запонка тип 7 - Puma
21,72;21,71;5;9,72;01.02.2019;ФИО 821;Штаны тип 9 - Reebok
206,29;206,29;7;101,04;02.02.2019;;Туфли тип 4 - Nike
11,16;11,14;8;4,91;02.02.2019;;Кепка тип 1 - Adidas
19,71;19,71;8;7,92;02.02.2019;;Рубашка тип 6 - Puma
30,49;30,5;8;12,84;02.02.2019;;Рубашка тип 2 - Puma
13,81;13,82;8;5,35;02.02.2019;;Шапка тип 7 - Puma
17,58;35,14;8;18,73;02.02.2019;;Футболка тип 3 - Nike
47,61;47,61;5;25,97;02.02.2019;ФИО 855;Рубашка тип 6 - Adidas
17,22;17,21;5;7,12;02.02.2019;ФИО 855;Штаны тип 7 - Puma
30,65;30,64;4;12,83;02.02.2019;ФИО 320;Штаны тип 9 - Puma
14,2;14,18;2;8,23;03.02.2019;;Рубашка тип 10 - Nike
167,58;167,57;2;98,9;03.02.2019;;Кроссовки тип 6 - Nike
50,36;50,36;2;23,94;03.02.2019;;Рубашка тип 9 - Nike
119,24;119,25;4;56,81;03.02.2019;;Кроссовки тип 1 - Adidas
12,49;12,5;4;4,27;03.02.2019;;Шлёпки тип 3 - Puma
21,23;21,21;1;12,44;03.02.2019;;Футболка тип 4 - Nike
21,97;21,96;1;11,47;03.02.2019;;Запонка тип 6 - Nike
254,61;254,61;1;132,79;03.02.2019;;Сапоги тип 4 - Adidas
202,64;202,64;1;104,75;03.02.2019;;Сапоги тип 5 - Reebok
3,38;3,39;1;1,77;03.02.2019;;Мячик тип 2 - Adidas
30,49;30,5;9;12,84;03.02.2019;;Рубашка тип 2 - Puma
38,21;38,21;9;20,6;03.02.2019;;Запонка тип 4 - Adidas
13,27;13,29;9;6,7;03.02.2019;;Шлёпки тип 1 - Nike
27,62;27,61;9;8,26;03.02.2019;;Рубашка тип 4 - Puma
13,14;26,29;9;9,86;03.02.2019;;Шлёпки тип 3 - Puma
51,85;103,71;9;38,56;03.02.2019;;Кроссовки тип 4 - Puma
21,28;42,57;4;19,48;03.02.2019;;Футболка тип 5 - Reebok
10,74;21,46;1;10,62;03.02.2019;;Шапка тип 8 - Adidas
16,1;32,21;1;15,34;03.02.2019;;Ремень тип 4 - Reebok
142,6;285,21;2;150,42;03.02.2019;;Кроссовки тип 1 - Nike
62,04;62,04;7;32,72;04.02.2019;;Рубашка тип 3 - Nike
44,28;44,29;6;22,64;04.02.2019;;Рубашка тип 6 - Adidas
